,group,eff_DG,eff_CA3,eff_CA2,eff_CA1v,eff_CA1d,eff_SUBv,eff_SUBd,aff_DG,aff_CA3,aff_CA2,aff_CA1v,aff_CA1d,aff_SUBv,aff_SUBd
SI,other,0.0,0.0001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0
MS,other,0.0,0.001,0.0,0.01,0.0,0.0,0.001,0.3,0.01,0.001,0.01,0.001,0.3,0.01
NDB,other,0.0,0.001,0.0,0.01,0.0001,0.0,0.001,0.01,0.01,0.0001,0.0001,0.075,0.001,0.075
TRS,other,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTam,other,0.0,0.0,0.0,0.0001,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
BSTfu,other,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTv,other,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTmg,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTdm,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTal,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTov,other,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTju,other,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
BSTrh,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
BSTpr,other,0.0,0.0,0.0,0.001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
BSTif,other,0.0,0.0,0.0,0.075,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
BSTtr,other,0.0,0.0,0.0,0.075,0.0,0.075,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
BSTd,other,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
OT,other,0.0,0.0,0.0,0.01,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,other,0.0,0.0,0.0,0.3,0.0001,0.75,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
